iMap report  06-Feb-2014
----------------------------------------------------------------
 
 
Global eye-tracking measure (in full stimulus space)            
        
Dataset1
NbFix TotalFix(ms) MeanFix(ms) TotalPath(pix) MeanSacc(pix)
 2.92         1177         368            155            48
 1.71          484         257            153            54
 3.13         1127         324            154            42
 2.23          848         345            139            51
 9.54         3211         333            505            51
 2.47          666         249            155            55
 2.75          799         270            189            55
 3.61         1316         340            233            49
 3.44         1142         327            149            42
 3.56         1340         357            172            42
 3.93         1408         351            232            58
 6.37         2089         324            377            56
 4.35         1501         333            223            47
 3.91         1434         369            183            45
 3.88         1351         338            242            58
        
Dataset2
NbFix TotalFix(ms) MeanFix(ms) TotalPath(pix) MeanSacc(pix)
 7.34         2893         387            296            38
 6.49         2354         351            319            45
 2.56         1029         372            149            47
 3.52         1203         334            161            42
 6.49         2325         361            335            50
 4.44         1271         288            243            54
 2.62          905         346            113            39
 3.02         1002         332            178            55
 3.24         1108         332            172            48
 8.49         2942         346            422            50
 9.59         3088         318            373            38
 3.59         1209         335            173            47
 3.68         1359         367            243            59
 2.33          802         334            137            52
 4.62         1813         383            249            48
----------------------------------------------------------------
 
 
